id,name,address
142, Uzvaras pamatskola," Sporta iela 3, Uzvara, Gailīšu pagasts, Bauskas novads"
457, Užavas pamatskola," ""Kalves"", Užava, Užavas pagasts, Ventspils novads"
421, V. Plūdoņa Kuldīgas vidusskola," Piltenes iela 25, Kuldīga, Kuldīgas novads"
893, Vaboles vidusskola," ""Vidussskola"", Vabole, Vaboles pagasts, Augšdaugavas novads"
894, Vaboles vidusskola," Mazā skola, Vabole, Vaboles pagasts, Augšdaugavas novads"
112, Vaivaru pamatskola," Skautu iela 2, Jūrmala"
372, Vaiņodes vidusskola," Avotu iela 4, Vaiņode, Vaiņodes pagasts, Dienvidkurzemes novads"
543, Valdemāra pamatskola," Valdemārskola, Jumprava, Jumpravas pagasts, Ogres novads"
492, Valdemārpils vidusskola," Skolas iela 3, Valdemārpils, Talsu novads"
128, Valkas Jāņa Cimzes ģimnāzija," Ausekļa iela 5, Valka, Valkas novads"
123, Valkas Jāņa Cimzes ģimnāzija," Raiņa iela 28A, Valka, Valkas novads"
167, Valles pamatskola," Rīgas iela 4, Valle, Valles pagasts, Bauskas novads"
283, Valmieras 2. vidusskola," Raiņa iela 11, Valmiera, Valmieras novads"
281, Valmieras 5. vidusskola," Raiņa iela 3, Valmiera, Valmieras novads"
284, Valmieras Dizaina un mākslas vidusskola," Purva iela 12, Valmiera, Valmieras novads"
358, Valmieras Gaujas krasta vidusskola - attīstības centrs," Leona Paegles iela 20, Valmiera, Valmieras novads"
356, Valmieras Gaujas krasta vidusskola - attīstības centrs," Leona Paegles iela 5, Valmiera, Valmieras novads"
361, Valmieras Pārgaujas Valsts ģimnāzija," Zvaigžņu iela 4, Valmiera, Valmieras novads"
593, Valmieras Pārgaujas sākumskola," Meža iela 12A, Valmiera, Valmieras novads"
355, Valmieras Valsts ģimnāzija," Leona Paegles iela 40, Valmiera, Valmieras novads"
282, Valmieras Viestura vidusskola," Viestura aleja 3, Valmiera, Valmieras novads"
658," Valmieras novada pašvaldības pansionāts ""Valmiera"""," Kauguru iela 3, Valmiera, Valmieras novads"
657," Valmieras novada pašvaldības pansionāts ""Valmiera"""," Rīgas iela 55, Valmiera, Valmieras novads"
353, Valmieras sākumskola," Leona Paegles iela 40A, Valmiera, Valmieras novads"
359, Valmieras tehnikums," Vadu iela 3, Valmiera, Valmieras novads"
651," Valsts SIA ""Daugavpils psihoneiroloģiskā slimnīca"" Ilgstošas sociālās aprūpes un sociālās rehabilitācijas institūcija"," Lielā Dārza iela 60/62, Daugavpils"
677," Valsts SIA ""Rīgas Tūrisma un radošās industrijas tehnikums """," Sporta iela 1, Preiļi, Preiļu novads"
943," Valsts SIA ""Rīgas Tūrisma un radošās industrijas tehnikums"""," Augusta Deglava iela 41A, Rīga"
942," Valsts SIA ""Rīgas Tūrisma un radošās industrijas tehnikums"""," Nīcgales iela 26, Rīga"
260," Valsts SIA ""Rīgas psihiatrijas un narkoloģijas centrs""  Ilgstošas sociālās aprūpes centrs ""Vecpiebalga"""," ""Greiveri"", Vecpiebalgas pagasts, Cēsu novads"
443," Valsts SIA ""Slimnīca ""Ģintermuiža"""" Ilgstošas sociālās aprūpes un sociālās rehabilitācijas nodaļa"," Filozofu iela 69 K-9, Jelgava"
919, Valsts policijas koledža," Ezermalas iela 10, Rīga"
217, Vangažu vidusskola," Gaujas iela 2, Vangaži, Ropažu novads"
892," Varakļānu novada pansionāts ""Varavīksne"""," Stirnienes muiža, Varakļānu pagasts, Varakļānu novads"
891, Varakļānu vidusskola," Jaunatnes iela 2, Varakļāni, Varakļānu novads"
632, Variešu sākumskola," Variešu sākumskola, Varieši, Variešu pagasts, Jēkabpils novads"
611, Variņu pamatskola," Oktobra iela 15, Variņi, Variņu pagasts, Smiltenes novads"
